en,es
Giga Meter,Giga Meter
Troubleshooting,Troubleshooting
Giga Maps,Giga Maps
Giga Sync,Giga Sync
Daily Check App,Daily Check App
Superset,Superset
M-Lab,M-Lab
NDT7,NDT7
Cloudflare,Cloudflare
ITU,UIT
deployment,implementación
deploy,implementar
Deployment Blueprint,Plan de implementación
dashboard,panel
uptime,tiempo de actividad
speed test,prueba de velocidad
ping check,comprobación de ping
monitoring,monitoreo
upload speed,velocidad de subida
download speed,velocidad de descarga
load speed,Velocidad de carga
latency,latencia
focal point,punto focal
onboarding,implementación
Government Onboarding Guide,Guía de implementación para gobiernos
Installation Lead,Responsable de instalación
Data Analysis Lead,Responsable de análisis de datos
UNICEF Country Office,Oficina de País de UNICEF
case studies,estudios de caso
case study,estudio de caso
school day,jornada escolar
school ID,ID de la escuela
Giga ID,ID de Giga
live school,escuela activa
at-risk school,escuela en riesgo
drop-off,abandono
drop-off rate,tasa de abandono
whitelisted,habilitado en el sistema
blockers,obstáculos
champion,promotor
benchmark,punto de referencia
Training Support Materials,Materiales de apoyo para la capacitación
computer,computadora
reliable,confiable
funding,financiamiento
report data,reportar datos
escalation,escalamiento
scale-up,ampliación
backup device,dispositivo de respaldo
re-registration,nuevo registro
onboarding screens,pantallas de configuración inicial
safe to install,su instalación es segura
internet,internet
