en,tg
Giga Meter,Giga Meter
Giga Maps,Giga Maps
Giga Sync,Giga Sync
Daily Check App,Daily Check App
Superset,Superset
M-Lab,M-Lab
NDT7,NDT7
Cloudflare,Cloudflare
school,мактаб
computer,компютер
internet,интернет
speed test,санҷиши суръат
download speed,суръати боргирӣ
upload speed,суръати боркунӣ
measurement,ченкунӣ
monitoring,мониторинг
server,сервер
latency,таъхир
connection,пайвастшавӣ
school ID,рақами мактаб (ID)
install,насб кардан
installation,насбкунӣ
update,навсозӣ
settings,танзимот
network,шабака
device,дастгоҳ
